XMLType,DigitalCollectionsURLs,UMDM,UMAM,Identifier,DigitizationNotes,DigitizedByDept,DigitizedByPers,DateDigitizedOld,PlaybackDevice,AnalogInterface,DigitizationSoftware,Title,AlternateTitle,Creator,CreatorType,Contributor,ContributorType,Provider/Publisher,Provider/PublisherType,Description/Summary,Credits,FedoraCollection,DateAttribute,DateCreated,OriginalBroadcastDate,Century,Language,Accession,Series,Subseries,Box,Item,ArchivalCollection,Department,CopyrightHolder,RepositoryBrowse,RecordingNotes,Mono/Stereo,TrackFormat,MediaType,FormType,Form,Format,Dimensions,PlaybackSpeed,Continent,Country,Region/State,Settlement/City,Sound,FrameRate,ImageResolution (PPI),AspectRatio,TimeStart (timecode),ChannelConfiguration,Color,PreservationNote/PhysicalNote,QANotes,Finished,TopicalSubject,TopicalScheme,GeographicalSubject,GeographicalScheme,CorpSubject,CorpScheme,PersonalSubject,PersonalScheme,SharestreamURLs,FileName,DurationMasters,DurationDerivatives,DataRate,HorizontalPixels,VerticalPixels,VideoStandard,ScanSignal,newid,DateDigitized,Rights
UMDM,,UMDM,,31430004225126,,,,,,,,Approximating functions,,,,,,,,"A development of the idea of representing some given function by a simpler function, and an explanation of why it is useful to do so. The tool used is linear interpolation. Also deals with two related problems of estimating errors, and how errors depend on tabular spacing. This film has been digitized because it has a high level of Vinegar Syndrome (chemical deterioration). That condition will prevent any captured images from being 100% perfect. Our goal is to present the content of the film in a digital format that is as good and the least distracting as possible.",,Films@UM,,1970,,1901-2000,,,,,,,,Nonprint Media Services,,,,,,moving image,analog,Nonfiction film,16mm,,,,,,,optical,,,,,,Black and white,Vinegar Syndrome,Viewed. Missing 2 sec blank/black/color bars at beginning & end.Slight abrasions are probably native artifacts. Squares on charts appear distorted: possibly did not got through machinery flat on transfer? LS // upper half of frame 4768 is distorted; lower half of frame 28842 is distorted; it's possible that the film frames have cupped; otherwise looks fine (ESC),,,,,,,,,,,,,,,,,,,31430004225126,,Access restricted to patrons at the University of Maryland.
UMAM,,,UMAM,31430004225126,Good,Crawford,jy,12/9/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=77aba81adf2142e,lms-026105-0001,00:25:28,00:25:28,,,,,,31430004225126,2014-12-9,Access restricted to patrons at the University of Maryland.
UMDM,,UMDM,,31430004225159,,,,,,,,Playing with numbers,,,,,,,,"A brief examination of the types of numbers possible. Rational, algebraic, and irrational numbers are illustrated and discussed. This film has been digitized because it has a high level of Vinegar Syndrome (chemical deterioration). That condition will prevent any captured images from being 100% perfect. Our goal is to present the content of the film in a digital format that is as good and the least distracting as possible.",,Films@UM,,1966,,1901-2000,,,,,,,,Nonprint Media Services,,,,,,moving image,analog,Nonfiction film,16mm,,,,,,,optical,,,,,,Black and white,Vinegar Syndrome,Viewed. Missing 2 sec blank/black/color bars at beginning & end.  Scratches/abrasions/sparkles are probably native artifacts. LS // temporal outlier pixels and pixels too bright or dark for broadcast range are inherent to film (ESC),,,,,,,,,,,,,,,,,,,31430004225159,,Access restricted to patrons at the University of Maryland.
UMAM,,,UMAM,31430004225159,Good,Crawford,jy,12/9/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=55576fd82b67448,lms-026128-0001,00:19:20,00:19:20,,,,,,31430004225159,2014-12-9,Access restricted to patrons at the University of Maryland.
UMDM,,UMDM,,31430004225175,,,,,,,,Anatomy of analogy,,,,,,,,Demonstrates the way a full orchestra score can be reduced to a piano version; the way in which children counting and the use of logarithms provide mathematical examples of modeling and extends these ideas to arrive at the definition of morphism. The breakdown of the method for the sine function with addition leads to the construction of the compatibility test and finally indicates the way in which morphism are useful in management situations. This film has been digitized because it has a high level of Vinegar Syndrome (chemical deterioration). That condition will prevent any captured images from being 100% perfect. Our goal is to present the content of the film in a digital format that is as good and the least distracting as possible.,,Films@UM,,1971,,1901-2000,,,,,,,,Nonprint Media Services,,,,,,moving image,analog,Nonfiction film,16mm,,,,,,,optical,,,,,,B&W w/optical sound,Vinegar Syndrome,Viewed. Missing 2 sec blank/black/color bars at beginning & end.  Slight abrasions are probably native artifacts. Squares on charts appear distorted: possibly did not got through machinery flat on transfer? Film screen date is 1971. LS // significant temporal outliers between frames 93-814 (00:00:03.879-00:00:33.951); it's possible that the film frames have cupped; otherwise looks fine (ESC),,,,,,,,,,,,,,,,,,,31430004225175,,Access restricted to patrons at the University of Maryland.
UMAM,,,UMAM,31430004225175,Good,Crawford,dc,12/12/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=73b31f7afec3482,lms-026103-0001,00:25:26,00:25:26,,,,,,31430004225175,2014-12-12,Access restricted to patrons at the University of Maryland.
UMDM,,UMDM,,31430004225209,,,,,,,,An end or a beginning,,,,,,,,Presents a definition of a mathematical structure and explains how groups fit in with the definition. Considers mappings between structures and also extends the definition of a morphism. This film has been digitized because it has a high level of Vinegar Syndrome (chemical deterioration). That condition will prevent any captured images from being 100% perfect. Our goal is to present the content of the film in a digital format that is as good and the least distracting as possible.,,Films@UM,,1970,,1901-2000,,,,,,,,Nonprint Media Services,,,,,,moving image,analog,Nonfiction film,16mm,,,,,,,optical,,,,,,Black and white,Vinegar Syndrome,Viewed. Missing 2 sec blank/black/color bars at beginning & end. Scratches/abrasions are probably native artifacts. LS // lower half of frame 4190 is distorted; otherwise looks fine (ESC),,,,,,,,,,,,,,,,,,,31430004225209,,Access restricted to patrons at the University of Maryland.
UMAM,,,UMAM,31430004225209,Good,Crawford,jy,12/9/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=d1f4376b4a754a1,lms-026102-0001,00:25:31,00:25:31,,,,,,31430004225209,2014-12-9,Access restricted to patrons at the University of Maryland.
UMDM,,UMDM,,31430004225258,,,,,,,,Fundamental theorum of calculus,,,,,,,,"A description of the basic principles of calculus, including derivatives and integrals using the area under a curve. This film has been digitized because it has a high level of Vinegar Syndrome (chemical deterioration). That condition will prevent any captured images from being 100% perfect. Our goal is to present the content of the film in a digital format that is as good and the least distracting as possible.",,Films@UM,,1970,,1901-2000,,,,,,,,Nonprint Media Services,,,,,,moving image,analog,Nonfiction film,16mm,,,,,,,optical,,,,,,Black and white,Vinegar Syndrome,"Viewed. Missing 2 sec blank/black/color bars at beginning & end.  Scratches/cut-throughs/sparkles are mostly native artifacts. There is a questionable dotted line type scratch in middle of frame that may be from transfer as mentioned in 026107. Squares on charts appear distorted: possibly did not got through machinery flat on transfer as noted in 026107. Digitization appears jittery, especially after 24:30. LS // it's possible that the film frames have cupped; temporal outlier pixels and pixels too dark for broadcast range are inherent to film (ESC)",,,,,,,,,,,,,,,,,,,31430004225258,,Access restricted to patrons at the University of Maryland.
UMAM,,,UMAM,31430004225258,Good,Crawford,jy,12/9/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=041b874bbe634ef,lms-026118-0001,00:25:06,00:25:06,,,,,,31430004225258,2014-12-9,Access restricted to patrons at the University of Maryland.
UMDM,,UMDM,,31430004225290,,,,,,,,The Definite integral.,,,,,,,,An historical introduction to the founding of integration by Newton and Leibniz in the 17th century. This film has been digitized because it has a high level of Vinegar Syndrome (chemical deterioration). That condition will prevent any captured images from being 100% perfect. Our goal is to present the content of the film in a digital format that is as good and the least distracting as possible.,,Films@UM,,1970,,1901-2000,,,,,,,,Nonprint Media Services,,,,,,moving image,analog,Nonfiction film,16mm,,,,,,,optical,,,,,,Black and white,Vinegar Syndrome,Viewed. Missing 2 sec blank/black/color bars at beginning & end.  Scratches/abrasions/sparkles are probably native artifacts. Digitization jittery on end credits. LS // frames between 13623-13635 (00:09:28.193-00:09:28.693) are damaged; temporal outlier pixels and pixels too bright or dark for broadcast range are inherent to film (ESC),,,,,,,,,,,,,,,,,,,31430004225290,,Access restricted to patrons at the University of Maryland.
UMAM,,,UMAM,31430004225290,Good,Crawford,jy,12/9/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=48099a17d815416,lms-026136-0001,00:24:47,00:24:47,,,,,,31430004225290,2014-12-9,Access restricted to patrons at the University of Maryland.
UMDM,,UMDM,,31430004225308,,,,,,,,Errors that die,,,,,,,,"Relates the practical problem of 'getting answers' to some ideas on functions. Shows how to get very approximate roots, and indicates how they can be improved. The idea of an iterative process is introduced in connection with a problem at the British Aircraft Corporation, and this technique is put to the test by exploring various rearrangements. This film has been digitized because it has a high level of Vinegar Syndrome (chemical deterioration). That condition will prevent any captured images from being 100% perfect. Our goal is to present the content of the film in a digital format that is as good and the least distracting as possible.",,Films@UM,,1970,,1901-2000,,,,,,,,Nonprint Media Services,,,,,,moving image,analog,Nonfiction film,16mm,,,,,,,optical,,,,,,Black and white,Vinegar Syndrome,"Viewed. Missing 2 sec blank/black/color bars at beginning & end.  Scratches/cut-throughs/sparkles are probably native artifacts. LS // significant temporal outlier pixels between frames 2286-3992 (00:01:35.345-00:02:46.500), 19243-19610 (00:13:22.593-00:13:37.900), 25609-27644 (00:17:48.109-00:19:12.985) and 35029-35680 (00:24:21.001-00:24:48.153)",,,,,,,,,,,,,,,,,,,31430004225308,,Access restricted to patrons at the University of Maryland.
UMAM,,,UMAM,31430004225308,Good,Crawford,jy,12/9/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=efb2a5b732d543a,lms-026115-0001,00:25:24,00:25:24,,,,,,31430004225308,2014-12-9,Access restricted to patrons at the University of Maryland.
UMDM,,UMDM,,31430004225365,,,,,,,,The difference operator,,,,,,,,Shows how the difference operator can be thought of as a morphism and how it can be used to describe a rate of change. This film has been digitized because it has a high level of Vinegar Syndrome (chemical deterioration). That condition will prevent any captured images from being 100% perfect. Our goal is to present the content of the film in a digital format that is as good and the least distracting as possible.,,Films@UM,,1970,,1901-2000,,,,,,,,Nonprint Media Services,,,,,,moving image,analog,Nonfiction film,16mm,,,,,,,optical,,,,,,Black and white,Vinegar Syndrome,Viewed. Missing 2 sec blank/black/color bars at beginning & end.  Scratches/abrasions/sparkles are probably native artifacts. LS // frames between 16286-16293 (00:11:19.262-00:11:19.554) are damaged; temporal outlier pixels and pixels too bright or dark for broadcast range are inherent to film (ESC),,,,,,,,,,,,,,,,,,,31430004225365,,Access restricted to patrons at the University of Maryland.
UMAM,,,UMAM,31430004225365,Good,Crawford,jy,12/9/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=c9b563074c704cb,lms-026137-0001,00:25:02,00:25:02,,,,,,31430004225365,2014-12-9,Access restricted to patrons at the University of Maryland.
UMDM,,UMDM,,31430004225548,,,,,,,,The Periodic table,,,,,,,,"Introduces the periodic table by looking at some of the properties of a range of elements. Shows the relative chemical reactivities of the alkali metals with oxygen, and of the halogens with phosphorus, and relates these properties to their positions in the periodic table. This film has been digitized because it has a high level of Vinegar Syndrome (chemical deterioration). That condition will prevent any captured images from being 100% perfect. Our goal is to present the content of the film in a digital format that is as good and the least distracting as possible.",,Films@UM,,1970,,1901-2000,,,,,,,,Nonprint Media Services,,,,,,moving image,analog,Nonfiction film,16mm,,,,,,,optical,,,,,,Black and white,Vinegar Syndrome,"missing blank two seconds at beginning and end; film is in poor shape during first couple of minutes; missing broadcast range pixels between frames 0-433 (00:00:00.000-00:00:18.060) and 1653-1746 (00:01:08.944-00:01:12.823); significant temporal outlier pixels between frames 293-423 (00:00:12.221-00:00:17.643), 1653-1746 (00:01:08.944-00:01:12.823), 2236-2389 (00:01:33.260-00:01:39.641), 9213-9438 (00:06:24.259-00:06:33.643) (ESC)",,,,,,,,,,,,,,,,,,,31430004225548,,Access restricted to patrons at the University of Maryland.
UMAM,,,UMAM,31430004225548,Good,Crawford,jy,12/9/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=f437220d83f94a8,lms-026141-0001,00:25:12,00:25:12,,,,,,31430004225548,2014-12-9,Access restricted to patrons at the University of Maryland.
