XMLType,DigitalCollectionsURLs,UMDM,UMAM,SharestreamURLs,Identifier,FileName,DurationMasters,DurationDerivatives,DigitizationNotes,DigitizedByDept,DigitizedByPers,DateDigitized,PlaybackDevice,AnalogInterface,DigitizationSoftware,Title,AlternateTitle,Creator,CreatorType,Contributor,ContributorType,Provider/Publisher,Provider/PublisherType,Description/Summary,Department,FedoraCollection,DateAttribute,DateCreated,OriginalBroadcastDate,Century,Language,Accession,ArchivalCollection,Series,Subseries,Box,Item,CopyrightHolder,Rights,RepositoryBrowse,RecordingNotes,Mono/Stereo,TrackFormat,Frequency,MediaType,FormType,Form,Format,Dimensions,PlaybackSpeed,Continent,Country,Region/State,Settlement/City,PreservationNote/PhysicalNote,QANotes,Finished,TopicalSubject,TopicalScheme,GeographicalSubject,GeographicalScheme,CorpSubject,CorpScheme,PersonalSubject,PersonalScheme
UMDM,,UMDM,,,2295,,,,,,,,,,,"Table Top Poets on Third Rail Radio, WMUC, May 02, 2004",,,,,,"WMUC (Radio station : College Park, Md.)",corpName,"Table Top Poets play live on Third Rail Radio at WMUC at the University of Maryland, May 02, 2004.",UniversityArchives,WMUC Archives,,2004-05-02,2004-05-02,2001-2100,English,,WMUC Collection,"5: Audio Materials, 1960s-2000s",,,,"University of Maryland (College Park, Md.)",Access is restricted to patrons at the University of Maryland.,"Broadcasting, Communications; Performing Arts, Music",,,,,sound,digital,instrumental and vocal music,CD,"5""",,North America,United States,Maryland,College Park,,,,,,,,,,,
UMAM,,,UMAM,http://streamer.lib.umd.edu/ssdcms/i.do?u=66af18785385474,,bcast-035476-0001,00:45:12,00:45:12,10 tracks,DCMR,"Dook, Rachel",2015-05-01,N/A,N/A,CDex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,passed,yes,,,,,,,,
UMDM,,UMDM,,,2296,,,,,,,,,,,"Thick as Thieves on Third Rail Radio, WMUC, March 18, 2005",,,,,,"WMUC (Radio station : College Park, Md.)",corpName,"Thick as Thieves plays live on Third Rail Radio at WMUC at the University of Maryland, March 18, 2005.",UniversityArchives,WMUC Archives,,2005-05-18,2005-05-18,2001-2100,English,,WMUC Collection,"5: Audio Materials, 1960s-2000s",,,,"University of Maryland (College Park, Md.)",Access is restricted to patrons at the University of Maryland.,"Broadcasting, Communications; Performing Arts, Music",,,,,sound,digital,instrumental and vocal music,CD,"5""",,North America,United States,Maryland,College Park,,,,,,,,,,,
UMAM,,,UMAM,http://streamer.lib.umd.edu/ssdcms/i.do?u=2b4e4f0368aa4a7,,bcast-035478-0001,00:27:33,00:27:33,9 tracks,DCMR,"Dook, Rachel",2015-05-01,N/A,N/A,CDex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,passed,yes,,,,,,,,
UMDM,,UMDM,,,2297,,,,,,,,,,,"Crime Spree on Third Rail Radio, WMUC, April 11, 2003",,,,,,"WMUC (Radio station : College Park, Md.)",corpName,"Crime Spree plays live on Third Rail Radio at WMUC at the University of Maryland, April 11, 2003.",UniversityArchives,WMUC Archives,,2003-04-06,2003-04-06,2001-2100,English,,WMUC Collection,"5: Audio Materials, 1960s-2000s",,,,"University of Maryland (College Park, Md.)",Access is restricted to patrons at the University of Maryland.,"Broadcasting, Communications; Performing Arts, Music",,,,,sound,digital,instrumental and vocal music,CD,"5""",,North America,United States,Maryland,College Park,,,,,,,,,,,
UMAM,,,UMAM,http://streamer.lib.umd.edu/ssdcms/i.do?u=23d5f7a8dcb046b,,bcast-035479-0001,00:16:16,00:16:16,5 tracks,DCMR,"Dook, Rachel",2015-05-01,N/A,N/A,CDex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,passed,yes,,,,,,,,
UMDM,,UMDM,,,2298,,,,,,,,,,,"Overlord on Third Rail Radio, WMUC, April 25, 2004",,,,,,"WMUC (Radio station : College Park, Md.)",corpName,"Overlord plays live on Third Rail Radio at WMUC at the University of Maryland, April 25, 2004.",UniversityArchives,WMUC Archives,,2004-04-25,2004-04-25,2001-2100,English,,WMUC Collection,"5: Audio Materials, 1960s-2000s",,,,"University of Maryland (College Park, Md.)",Access is restricted to patrons at the University of Maryland.,"Broadcasting, Communications; Performing Arts, Music",,,,,sound,digital,instrumental and vocal music,CD,"5""",,North America,United States,Maryland,College Park,,,,,,,,,,,
UMAM,,,UMAM,http://streamer.lib.umd.edu/ssdcms/i.do?u=e8ccf90ae56446b,,bcast-035481-0001,00:26:42,00:26:42,9 tracks,DCMR,"Dook, Rachel",2015-05-01,N/A,N/A,CDex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,passed,yes,,,,,,,,
UMDM,,UMDM,,,2299,,,,,,,,,,,"Distorted Penguins on Third Rail Radio, WMUC, November 29, 2003",,,,,,"WMUC (Radio station : College Park, Md.)",corpName,"Distorted Penguins plays live on Third Rail Radio at WMUC at the University of Maryland, November 29, 2003.",UniversityArchives,WMUC Archives,,2003-11-29,2003-11-29,2001-2100,English,,WMUC Collection,"5: Audio Materials, 1960s-2000s",,,,"University of Maryland (College Park, Md.)",Access is restricted to patrons at the University of Maryland.,"Broadcasting, Communications; Performing Arts, Music",,,,,sound,digital,instrumental and vocal music,CD,"5""",,North America,United States,Maryland,College Park,,,,,,,,,,,
UMAM,,,UMAM,http://streamer.lib.umd.edu/ssdcms/i.do?u=1bdbbb3e406e44a,,bcast-035483-0001,00:40:50,00:40:50,10 tracks,DCMR,"Dook, Rachel",2015-05-01,N/A,N/A,CDex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,passed,yes,,,,,,,,
