XMLType,DigitalCollectionsURLs,UMDM,UMAM,SharestreamURLs,Identifier,FileName,DurationMasters,DurationDerivatives,DigitizationNotes,DigitizedByDept,DigitizedByPers,DateDigitized,PlaybackDevice,AnalogInterface,DigitizationSoftware,Title,AlternateTitle,Creator,CreatorType,Contributor,ContributorType,Provider/Publisher,Provider/PublisherType,Description/Summary,Credits,Department,FedoraCollection,DateAttribute,DateCreated,OriginalBroadcastDate,Century,Language,Accession,Series,Subseries,Box,Item,ArchivalCollection,CopyrightHolder,Rights,RepositoryBrowse,RecordingNotes,Mono/Stereo,TrackFormat,MediaType,FormType,Form,Format,Dimensions,PlaybackSpeed,Continent,Country,Region/State,Settlement/City,FrameRate,ImageResolution (PPI),AspectRatio,TimeStart (timecode),ChannelConfiguration,Color,PreservationNote/PhysicalNote,QANotes,Finished,TopicalSubject,TopicalScheme,GeographicalSubject,GeographicalScheme,CorpSubject,CorpScheme,PersonalSubject,PersonalScheme
UMDM,,UMDM,,,19550917-FB-0001-1Qtr,,,,,,,,,,,"Football: Maryland (13) vs. Missouri (12), September 17, 1955",,,,,,"University of Maryland, College Park. Department of Intercollegiate Athletics",corpName,"Film footage of the first quarter of the football game between Maryland (13) and Missouri (12) on September 17, 1955",,University Archives,University AlbUM,,1955-09-17,,1901-2000,,2012-20,,,Box 1,,,,,"University of Maryland; Sports, Recreation",,,,moving image,analog,Live action,16mm,"7""",,North America,United States,Maryland,College Park,,,,,,,,,,Terrapins (Football team),LCNAF,,,,,,
UMAM,,,UMAM,http://streamer.lib.umd.edu/ssdcms/i.do?u=178a09960cc9436,19550917-FB-0001-1Qtr,19550917-FB-0001-1Qtr,00:10:55,00:10:55,,,,2015-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.",,,,,,,,,,,,,,,,,,,,,,total duration is 00:11:01; all artifacts appear inherent in film; this is the first quarter and part of the second,,,,,,,,,
UMDM,,UMDM,,,19550917-FB-0002-2Qtr,,,,,,,,,,,"Football: Maryland (13) vs. Missouri (12), September 17, 1955",,,,,,"University of Maryland, College Park. Department of Intercollegiate Athletics",corpName,"Film footage of the second quarter of the football game betweenMaryland (13) and Missouri (12) on September 17, 1955",,University Archives,University AlbUM,,1955-09-17,,1901-2000,,2012-20,,,Box 1,,,,,"University of Maryland; Sports, Recreation",,,,moving image,analog,Live action,16mm,"7""",,North America,United States,Maryland,College Park,,,,,,,,,,Terrapins (Football team),LCNAF,,,,,,
UMAM,,,UMAM,http://streamer.lib.umd.edu/ssdcms/i.do?u=2bf2c39d7cb14ff,19550917-FB-0002-2Qtr,19550917-FB-0002-2Qtr,00:11:06,00:11:06,,,,2015-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.",,,,,,,,,,,,,,,,,,,,,,total duration is 00:11:11; overcast sky makes the film dark in some places; all artifacts appear inherent in film; this is the rest of the second quarter and part of the third,,,,,,,,,
UMDM,,UMDM,,,19550917-FB-0003-3Qtr,,,,,,,,,,,"Football: Maryland (13) vs. Missouri (12), September 17, 1955",,,,,,"University of Maryland, College Park. Department of Intercollegiate Athletics",corpName,"Film footage of the third quarter of the football game between Maryland (13) and Missouri (12) on September 17, 1955",,University Archives,University AlbUM,,1955-09-17,,1901-2000,,2012-20,,,Box 1,,,,,"University of Maryland; Sports, Recreation",,,,moving image,analog,Live action,16mm,"7""",,North America,United States,Maryland,College Park,,,,,,,,,,Terrapins (Football team),LCNAF,,,,,,
UMAM,,,UMAM,http://streamer.lib.umd.edu/ssdcms/i.do?u=e835cc27108047a,19550917-FB-0003-3Qtr,19550917-FB-0003-3Qtr,00:08:10,00:08:10,,,,2015-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.",,,,,,,,,,,,,,,,,,,,,,total duration is 00:08:05; all artifacts appear inherent in film; this is the rest of the third quarter and the fourth,,,,,,,,,
UMDM,,UMDM,,,19560102-FB-0001-OrangeBowl,,,,,,,,,,,"Football: Maryland vs. Oklahoma, January 01, 1953",,,,,,"University of Maryland, College Park. Department of Intercollegiate Athletics",corpName,"Film footage of the Orange Bowl game between Maryland and Oklahoma on January 01, 1953",,University Archives,University AlbUM,,1953-01-01,,1901-2000,,2012-20,,,Box 1,,,,,"University of Maryland; Sports, Recreation",,,,moving image,analog,Live action,16mm,"7""",,North America,United States,Maryland,College Park,,,,,,,,,,Terrapins (Football team),LCNAF,,,,,,
UMAM,,,UMAM,http://streamer.lib.umd.edu/ssdcms/i.do?u=40e175a96f574f1,19560102-FB-0001-OrangeBowl,19560102-FB-0001-OrangeBowl,00:12:15,00:12:15,,,,2015-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.",,,,,,,,,,,,,,,,,,,,,,"total duration is 00:12:17; scratched and jumpy in many places, but artifacts appear inherent in film",,,,,,,,,
UMDM,,UMDM,,,19591121-FB-0001-1Qtr,,,,,,,,,,,"Football: Maryland (55) vs. Virginia (12), November 21, 1959",,,,,,"University of Maryland, College Park. Department of Intercollegiate Athletics",corpName,"Film footage of the first quarter of the football game between Maryland (55) and Virginia (12) on November 21, 1959",,University Archives,University AlbUM,,1959-11-21,,1901-2000,,2011-40,,,Box 1,,,,,"University of Maryland; Sports, Recreation",,,,moving image,analog,Live action,16mm,"7""",,North America,United States,Maryland,College Park,,,,,,,,,,Terrapins (Football team),LCNAF,,,,,,
UMAM,,,UMAM,http://streamer.lib.umd.edu/ssdcms/i.do?u=32d2f6035d72425,19591121-FB-0001-1Qtr,19591121-FB-0001-1Qtr,00:08:43,00:08:43,,,,2015-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.",,,,,,,,,,,,,,,,,,,,,,"duration of mp4 is 00:08:46 not 00:08:43; burn hole at 00:01:47; cut at 00:04:20; larger burn hole at 00:08:25; many portions of the film are quite dark, may benefit from editing for viewing // this passes (ESC)",,,,,,,,,
